Title,Institution,Type,Duration,Rating,Skills,Description,Link,Category,Subcategory,tokens,embedding
Foundations of Virtual Instruction,"University of California, Irvine",Course,1 - 3 Months,4.5,"Learning Management Systems, Virtual Environment, Teaching, Digital Communications, Emerging Technologies, Education Software and Technology, Web Content Accessibility Guidelines",This course is part of Virtual Teacher Specialization,https://www.coursera.org/learn/virtual-school,Social Sciences,Education,"['learning management systems', 'virtual environment', 'teaching', 'digital communications', 'emerging technologies', 'education software and technology', 'web content accessibility guidelines']","-0.010719805,0.04984952,0.01822451,0.014488816,0.0073317406,-0.07684154,0.009703377,0.09141425,-0.02419841,-0.0051686866,-0.02059838,-0.058127377,-0.0074592284,0.020410137,-0.006182108,-0.04303227,0.029760405,-0.030398756,-0.0056640753,-0.08325306,0.03371514,0.0018073589,0.03532691,-0.039435204,-0.01749062,-0.013060847,-0.027644675,-0.034213316,-0.053007696,-0.0094166715,0.029690107,0.0024771295,-0.0033914323,-0.05049035,-0.015578254,0.022513298,0.009454908,-0.028185531,-0.014572567,-0.077843584,-0.0020245651,-0.037911948,0.0003813556,-0.013333343,0.033726126,-0.021703158,-0.041205406,-0.004052811,0.025339535,0.042783298,-0.007065979,-0.03184924,-0.022148117,0.00081453595,-0.006790167,0.017036164,0.025166478,0.006051709,-0.0398356,0.023440992,-0.0020133327,0.02987521,-0.021895608,-0.0049526445,-0.055168662,0.04559781,0.02840534,0.027251933,-0.06058193,0.04617854,-0.017463034,0.0075324737,0.045670353,-0.034956306,0.018708417,0.020505296,0.0008979263,-0.00031627153,-0.019338844,0.021720989,-0.030795753,-0.012177752,-0.02478919,0.057537105,0.0024717972,-0.007466056,0.004618908,0.057565995,0.04457727,0.019783778,0.038097534,0.006915465,0.005054884,-0.005548076,0.05423354,0.044694483,0.025508896,-0.048975836,0.026879419,0.020246996"
Open Source Software Development Methods,The Linux Foundation,Course,1 - 4 Weeks,4.6,"Software Development Methodologies, Technical Communication, Open Source Technology, GitHub, CI/CD, Git (Version Control System), Collaborative Software, Linux, Software Development Life Cycle","This course is part of Open Source Software Development, Linux and Git Specialization",https://www.coursera.org/learn/open-source-software-development-methods,Computer Science,Software Development,"['software development methodologies', 'technical communication', 'open source technology', 'github', 'collaborative software', 'linux', 'software development life cycle']","-0.005180859,0.046844516,0.015581454,0.009765084,0.004386379,-0.070331074,0.008672083,0.08612893,-0.022290453,-0.004921422,-0.017675832,-0.054869823,-0.007858903,0.021580061,-0.005660863,-0.039033152,0.030282846,-0.03266956,-0.006562671,-0.07926882,0.032218695,0.0009588116,0.029549243,-0.03390981,-0.019623151,-0.010801109,-0.025505437,-0.035382934,-0.046337064,-0.0074992045,0.028516982,0.0021661373,-0.008497695,-0.048181962,-0.017596021,0.021261016,0.01007411,-0.02653696,-0.013962962,-0.07321091,0.0015845046,-0.03295187,0.0023197222,-0.015711969,0.030257331,-0.026342746,-0.037190046,-0.0034147163,0.027774423,0.041373406,-0.0016067063,-0.028066784,-0.02446538,-0.0012807471,-0.004733616,0.01977026,0.0239025,0.0071583367,-0.033010878,0.021049187,-0.0036658165,0.03187099,-0.027659703,-0.005763855,-0.0515144,0.043557357,0.025767067,0.024278766,-0.05368867,0.045205317,-0.012018958,0.007612499,0.03767655,-0.035368383,0.018710172,0.01790583,-9.9584795e-05,0.0019469932,-0.020798039,0.023146916,-0.025822554,-0.016985953,-0.023708189,0.054034736,0.0033378007,-0.0049627693,0.007179905,0.05362281,0.0473609,0.014687364,0.035570703,0.0049183704,0.008759199,8.0795944e-05,0.04936986,0.042095847,0.018005056,-0.051913846,0.02483208,0.024243671"
Sales and CRM Overview,Salesforce,Course,1 - 4 Weeks,4.6,"Sales Process, Salesforce, Data Management, Business-To-Consumer, Customer Relationship Management, Customer Data Management, Data Cleansing, Sales, Sales Operations, B2B Sales, Databases, Sales Development, Customer Relationship Management (CRM) Software",This course is part of Salesforce Sales Operations Professional Certificate,https://www.coursera.org/learn/sales-and-crm-overview,Business,Business Essentials,"['sales process', 'salesforce', 'data management', 'business-to-consumer', 'customer relationship management', 'customer data management', 'data cleansing', 'sales', 'sales operations', 'databases', 'sales development']","-0.013907817,0.059407268,0.01685463,0.017578132,0.012508883,-0.08791826,0.009821222,0.103022106,-0.030034661,-0.005872512,-0.023981677,-0.06866817,-0.007319641,0.02686233,-0.0035295442,-0.049504116,0.038469,-0.031552885,-0.007045966,-0.09921546,0.031900685,-0.0015358474,0.037576843,-0.051086243,-0.022014452,-0.011759403,-0.027920706,-0.034595784,-0.06049907,-0.005084991,0.041109834,-0.0018383007,-0.011240545,-0.058859423,-0.015154275,0.021696253,0.012533182,-0.032319855,-0.019952646,-0.093875,-0.0026209985,-0.04133752,0.0018589329,-0.017334027,0.040766764,-0.031025076,-0.047823202,-0.010755493,0.029585116,0.04943422,-0.008713349,-0.03905154,-0.034707803,0.0012174617,-0.008395793,0.020855809,0.025484197,0.008304823,-0.045099493,0.01768233,-0.0036142317,0.038063273,-0.027785527,-0.0071249697,-0.060881242,0.05720817,0.03644339,0.031311844,-0.07287622,0.05550061,-0.017311944,0.0065634805,0.050877653,-0.03763229,0.02373016,0.029231155,0.0019319304,0.002826468,-0.024768908,0.023903895,-0.03385586,-0.016941734,-0.02710899,0.069677636,0.0059124534,-0.011956922,0.008786176,0.063916616,0.06165946,0.021726858,0.04191983,0.0076568336,0.011356671,-0.005531919,0.063860506,0.05542716,0.02340608,-0.06142094,0.032886557,0.02440688"
Market Research,"University of California, Davis",Specialization,3 - 6 Months,4.6,"Presentations, Data Synthesis, Qualitative Research, Statistical Hypothesis Testing, Marketing, Business Research, Statistical Analysis, Market Research, Proposal Writing, Market Analysis, Survey Creation, Research Methodologies",Research Techniques + Data = Marketing Superhero. Deliver valuable customer insights for your business.,https://www.coursera.org/specializations/market-research,Business,Marketing,"['presentations', 'data synthesis', 'qualitative research', 'statistical hypothesis testing', 'marketing', 'business research', 'statistical analysis', 'market research', 'proposal writing', 'market analysis', 'survey creation', 'research methodologies']","-0.014392052,0.068433136,0.02389426,0.021879079,0.014332379,-0.10820344,0.008685977,0.13222967,-0.03689525,-0.009961818,-0.028175669,-0.08052124,-0.009725444,0.034312572,-0.008085432,-0.06106092,0.04993623,-0.04241534,-0.006579065,-0.11779191,0.04431145,-0.0022397705,0.04472108,-0.055826634,-0.02990859,-0.011760448,-0.038001396,-0.047230188,-0.073298216,-0.0072419103,0.04517187,0.0005441107,-0.010463084,-0.07469549,-0.018698107,0.026960006,0.021740692,-0.034675695,-0.022672856,-0.10817551,-0.00079490786,-0.05192198,-0.00035500014,-0.025968658,0.04595544,-0.036049046,-0.059896067,-0.010752849,0.037912875,0.061690148,-0.012254249,-0.045218673,-0.031502586,0.0045191175,-0.006291924,0.028246565,0.03407908,0.012961458,-0.05361362,0.032014523,-0.0014399594,0.050383817,-0.03485258,-0.008794184,-0.0747798,0.06975443,0.040750727,0.03637511,-0.08308456,0.0635354,-0.023700995,0.007392529,0.06109107,-0.049085405,0.033262827,0.027411906,0.0015922467,0.011060829,-0.023937846,0.030990927,-0.044725005,-0.021086121,-0.028205626,0.084716864,0.00060339243,-0.011996574,0.011691172,0.07751747,0.06769698,0.021829868,0.048966426,0.0065035294,0.008512096,-0.009104303,0.07936173,0.06540301,0.03234034,-0.07237593,0.031306796,0.032107215"
Preparing for your Professional Cloud Architect Journey,Google Cloud,Course,1 - 3 Months,4.7,"Cloud Services, Process Analysis, Cloud Infrastructure, Network Infrastructure, Business Requirements, Cloud Solutions, Google Cloud Platform, Cloud Security, Cloud Computing, Process Optimization, Solution Architecture, Configuration Management, Key Performance Indicators (KPIs), Cloud Computing Architecture",This course is part of Preparing for Google Cloud Certification: Cloud Architect Professional Certificate,https://www.coursera.org/learn/preparing-cloud-professional-cloud-architect-exam,Information Technology,Cloud Computing,"['cloud services', 'process analysis', 'cloud infrastructure', 'network infrastructure', 'business requirements', 'cloud solutions', 'google cloud platform', 'cloud security', 'cloud computing', 'process optimization', 'solution architecture', 'configuration management', 'cloud computing architecture']","-0.018240599,0.059897177,0.025684964,0.018548066,0.003589091,-0.09452576,0.01602504,0.10956928,-0.03266768,-0.0064010723,-0.023692928,-0.0787814,-0.014760662,0.021933984,-0.0023005225,-0.05114629,0.035305426,-0.043908365,-0.010416056,-0.10463059,0.043537024,0.0073017436,0.04348035,-0.05450892,-0.021743234,-0.00572136,-0.037868936,-0.04758825,-0.06406839,-0.007175068,0.04247205,0.0044303467,-0.0055502155,-0.06103503,-0.016534027,0.034579698,0.018911902,-0.040021796,-0.02384167,-0.10241966,-0.0014191605,-0.04455357,-0.0016955571,-0.020044882,0.044372216,-0.033968873,-0.047837384,-0.007930052,0.034207396,0.052191433,-0.0069123027,-0.03431988,-0.030606367,0.0012522687,-0.0125357965,0.026338674,0.026176654,0.006028619,-0.04841849,0.024801476,-0.0031599556,0.03993303,-0.029055843,-0.005380086,-0.06668866,0.059975598,0.029308759,0.036039617,-0.07444314,0.06022434,-0.026415683,0.01241207,0.055912666,-0.040016983,0.027443696,0.025811573,-0.0027014336,7.143117e-05,-0.0281883,0.032788225,-0.032883115,-0.021993466,-0.027673285,0.07154634,0.0052013597,-0.009822443,0.01401508,0.076206274,0.056068145,0.023123397,0.046338923,0.009223853,0.008737553,-0.005533845,0.073951855,0.06427921,0.027450012,-0.063421495,0.033586092,0.020404018"
Creative Writing: The Craft of Setting and Description,Wesleyan University,Course,1 - 4 Weeks,4.7,"Content Creation, Creativity, Storytelling, Writing and Editing, Writing",This course is part of Creative Writing Specialization,https://www.coursera.org/learn/craft-of-setting-and-description,Arts and Humanities,Music and Art,"['content creation', 'creativity', 'storytelling', 'writing and editing', 'writing']","-0.019163415,0.09566067,0.028845375,0.023512378,0.017308358,-0.1430654,0.011612986,0.17411815,-0.04593821,-0.007236888,-0.03958872,-0.10399332,-0.008871214,0.047772326,-0.009799218,-0.07773304,0.05855926,-0.059958287,-0.006908793,-0.15616448,0.054603525,-0.0010447751,0.06394547,-0.07538891,-0.039408863,-0.018361723,-0.05538745,-0.059888083,-0.099822834,-0.0106665855,0.057659756,0.0006994589,-0.010712592,-0.101282194,-0.02752904,0.04335972,0.02141529,-0.04886394,-0.033735096,-0.14253412,-0.00446021,-0.06827557,0.0051477975,-0.03587842,0.06697428,-0.040344648,-0.0853209,-0.010470478,0.0572401,0.08541821,-0.014436861,-0.05461656,-0.04470807,0.0018909064,-0.004733135,0.034681406,0.04263524,0.025295135,-0.07334311,0.039395515,-0.007817137,0.056824245,-0.04496868,-0.0029770327,-0.1018855,0.088884875,0.06004573,0.041036718,-0.108666435,0.08392992,-0.02658078,0.011326819,0.07214857,-0.06816596,0.039713554,0.040157504,0.0018364631,0.006558808,-0.034089625,0.03928514,-0.05729281,-0.028431788,-0.03478514,0.11040487,0.0014726396,-0.012725028,0.017466826,0.10693928,0.0912239,0.035338428,0.071422085,0.0048509445,0.007386434,-0.012364048,0.09799397,0.083539985,0.032707468,-0.100164674,0.047728736,0.046795256"
Advanced React,Meta,Course,1 - 4 Weeks,4.6,"UI Components, Unit Testing, Integration Testing, Javascript, Jest (JavaScript Testing Framework), API Design, JavaScript Frameworks, TypeScript, Front-End Web Development, React.js",This course is part of multiple programs,https://www.coursera.org/learn/advanced-react,Computer Science,Mobile and Web Development,"['ui components', 'unit testing', 'integration testing', 'javascript', 'api design', 'javascript frameworks', 'typescript', 'front-end web development']","-0.014445562,0.053109035,0.023558121,0.010619531,0.013919819,-0.08728151,0.0072870897,0.10803679,-0.02905969,-0.007138098,-0.023120929,-0.06662931,-0.010508897,0.027288418,0.0045177215,-0.044554483,0.031516943,-0.031118209,-0.0063812584,-0.09556203,0.038393907,0.0047124997,0.034644987,-0.05094966,-0.016388785,-0.01238907,-0.03058355,-0.041073315,-0.06047367,-0.016060237,0.03809272,0.0046970253,-0.002943159,-0.05632464,-0.015703864,0.022008298,0.0116955135,-0.030255368,-0.019108776,-0.08820676,0.006613883,-0.045362465,0.0019858968,-0.021896593,0.041629653,-0.027150333,-0.045597672,-0.009352544,0.02907132,0.052701183,-0.0044983616,-0.03488304,-0.026788332,0.005286184,-0.008571628,0.0236032,0.025242615,0.008853032,-0.045059457,0.026586745,-0.002147297,0.03907236,-0.03192778,-0.009671382,-0.055892218,0.05506438,0.0348418,0.03227128,-0.06865963,0.056524057,-0.0180645,0.0051996666,0.04818218,-0.040114265,0.0230272,0.024790373,0.0052955435,0.002841528,-0.023926422,0.029593803,-0.029438991,-0.014841441,-0.02590921,0.060674317,-0.0006648278,-0.009163217,0.0064020995,0.068285644,0.049978364,0.012073271,0.046100225,0.005721705,0.009164573,-0.0045420793,0.06525329,0.060773678,0.01831497,-0.05888921,0.027170816,0.023409689"
Entrepreneurship 3: Growth Strategies,University of Pennsylvania,Course,1 - 4 Weeks,4.8,"Organizational Structure, People Management, Marketing, Business Metrics, Key Performance Indicators (KPIs), Market Dynamics, Entrepreneurship, Talent Management, Paid media, Business Strategies, Public Relations, Search Engine Optimization, Growth Strategies, Customer Acquisition Management, Earned Media, Digital Marketing, Marketing Strategies, Forecasting",This course is part of Entrepreneurship Specialization,https://www.coursera.org/learn/growth-strategy,Business,Entrepreneurship,"['organizational structure', 'people management', 'marketing', 'business metrics', 'market dynamics', 'entrepreneurship', 'talent management', 'paid media', 'business strategies', 'public relations', 'search engine optimization', 'growth strategies', 'customer acquisition management', 'earned media', 'digital marketing', 'marketing strategies', 'forecasting']","-0.011530623,0.05611778,0.019218644,0.013830571,0.010709122,-0.088289835,0.0077830665,0.10547956,-0.026383393,-0.0068130684,-0.026388096,-0.06731853,-0.007089147,0.026945395,-0.002376966,-0.0484083,0.038377237,-0.03631839,-0.007270516,-0.09476923,0.037310034,-0.0029582866,0.037899204,-0.0455824,-0.02553453,-0.009892038,-0.033673253,-0.038136885,-0.060623758,-0.0071373023,0.038574483,0.0027092297,-0.009378417,-0.059583258,-0.012564735,0.023732327,0.01262617,-0.0334147,-0.019664548,-0.08998003,-0.0009281973,-0.04118039,0.0010486112,-0.02218478,0.036170393,-0.032719288,-0.05251208,-0.006999245,0.030326549,0.04899089,-0.008410862,-0.035901807,-0.026758004,0.0031725946,-0.0042650523,0.02372986,0.026349913,0.010218075,-0.045477092,0.020890221,-0.004115287,0.039116558,-0.029067561,-0.0071980953,-0.058767024,0.057108194,0.03459719,0.028716803,-0.06679529,0.04920092,-0.018027574,0.0065305484,0.04523762,-0.04046155,0.022778552,0.023912588,-0.0017705058,0.0063011404,-0.021394385,0.025144525,-0.036544964,-0.013470603,-0.021161763,0.069100216,0.0012678601,-0.008457929,0.0091643715,0.060712665,0.05349116,0.016885914,0.042458292,0.0011236133,0.0044247154,-0.008035361,0.06280878,0.056713346,0.02173187,-0.061652835,0.028839085,0.028710658"
The fundamentals of hotel distribution,ESSEC Business School,Course,1 - 4 Weeks,4.7,"Hospitality, E-Commerce, Revenue Management, Direct Selling, Marketing Strategies, Competitive Analysis, Direct Marketing, Business Modeling, Marketing Channel, Web Design and Development, Online Advertising, Hospitality Management, Web Analytics and SEO, Booking (Sales)","This course is part of Hotel Management: Distribution, Revenue and Demand Management Specialization",https://www.coursera.org/learn/hotel-distribution,Business,Business Strategy,"['hospitality', 'e-commerce', 'revenue management', 'direct selling', 'marketing strategies', 'competitive analysis', 'direct marketing', 'business modeling', 'marketing channel', 'web design and development', 'online advertising', 'hospitality management', 'web analytics and seo']","-0.005626714,0.0457981,0.0137735745,0.015255057,0.013969865,-0.08467578,0.011870964,0.102286234,-0.030455984,-0.008906201,-0.025630567,-0.062603064,-0.0041875485,0.027759207,0.00398178,-0.048834786,0.036458798,-0.03074239,-0.0021509337,-0.087728344,0.037626185,-0.004793211,0.03231233,-0.04591831,-0.021164443,-0.010733297,-0.036233213,-0.031354066,-0.053370442,-0.009938678,0.040919192,0.001022936,-0.011130757,-0.056629088,-0.014110481,0.02157068,0.014445812,-0.02604537,-0.01788014,-0.08731259,-0.0015900302,-0.042610493,0.0060209185,-0.0185243,0.033213824,-0.030086817,-0.050333645,-0.006684412,0.032640778,0.044586446,-0.012371077,-0.035653338,-0.024899961,-0.00019726454,-0.0050373604,0.024768572,0.025979813,0.0113357315,-0.034275994,0.023310535,-0.0010264117,0.04135624,-0.02611598,-0.0044178492,-0.061198268,0.058749877,0.036396,0.033314466,-0.06578892,0.049105313,-0.017128173,0.0044519207,0.045448244,-0.03531195,0.029157523,0.024450392,-0.0020679922,0.012587581,-0.027815422,0.02274383,-0.037973464,-0.015246471,-0.02030352,0.071807876,0.0030263795,-0.010012373,0.003792509,0.060779557,0.05140963,0.012526764,0.041428987,0.0028011152,0.008229474,-0.0010493799,0.059117313,0.053150658,0.025677957,-0.059843235,0.027795471,0.026686387"
Managing an Agile Team,University of Virginia,Course,1 - 4 Weeks,4.7,"Agile Project Management, Lean Methodologies, Process Improvement, Kanban Principles, User Story, Sales Presentation, Team Leadership, Team Building, Agile Methodology, Backlogs, Team Management, Prioritization, Sprint Retrospectives, Team Performance Management, Selling Techniques, Agile Software Development, Decision Making, Discussion Facilitation",This course is part of multiple programs,https://www.coursera.org/learn/uva-darden-agile-team-management,Computer Science,Design and Product,"['agile project management', 'lean methodologies', 'process improvement', 'kanban principles', 'user story', 'sales presentation', 'team leadership', 'team building', 'agile methodology', 'backlogs', 'team management', 'prioritization', 'sprint retrospectives', 'team performance management', 'selling techniques', 'agile software development', 'decision making', 'discussion facilitation']","-0.0049743075,0.025328223,0.009431484,0.0054035597,0.004583685,-0.03651939,0.0051571876,0.043080926,-0.012944484,-0.005879362,-0.008184371,-0.027000898,-0.005997107,0.011214126,-0.0023836803,-0.02086338,0.017099507,-0.015410163,-0.0018643679,-0.038979694,0.015772108,-0.0004995673,0.016151419,-0.020641536,-0.009389807,-0.004956203,-0.013764124,-0.017013099,-0.024671268,-0.0027231378,0.015589755,-0.00020873014,-0.0026559017,-0.026569575,-0.0070298854,0.011915903,0.0064378954,-0.014858168,-0.007924958,-0.03788384,-0.00091441534,-0.018305475,0.0021811614,-0.010176083,0.017340247,-0.012272382,-0.022594593,-0.0024278776,0.015472914,0.022875736,-0.003709156,-0.013790693,-0.0127059845,0.00035713657,-0.0007562609,0.011050816,0.012133241,0.0036054456,-0.017228488,0.006605068,-0.004052787,0.017362416,-0.012341762,-0.0046343612,-0.022816012,0.02045125,0.013423566,0.013615034,-0.025708182,0.02232077,-0.0059871455,0.0032788732,0.021148693,-0.01637938,0.012874796,0.007988104,-2.1817783e-05,0.0031736405,-0.008709759,0.008094113,-0.016835036,-0.006900951,-0.010504314,0.028433667,0.00042970668,-0.005378005,0.004257504,0.026650982,0.023838487,0.009890834,0.01802113,-0.0002765169,0.0034405487,-0.0033668126,0.028908335,0.023482509,0.0099170515,-0.025774248,0.013325272,0.009859528"
Strategising: Management for Global Competitive Advantage,Macquarie University,Specialization,3 - 6 Months,4.8,"Growth Strategies, Governance, Design Thinking, Environmental Social And Corporate Governance (ESG), Strategic Sourcing, Supply Chain, Supply Chain Management, Business Strategy, Customer Analysis, Corporate Sustainability, Innovation, Supply Chain Planning","Future-proof your business strategy. Strategic management, global supply chain management, disruptive innovation, and sustainability",https://www.coursera.org/specializations/strategic-management-competitive-advantage,Business,Business Strategy,"['growth strategies', 'governance', 'design thinking', 'strategic sourcing', 'supply chain', 'supply chain management', 'business strategy', 'customer analysis', 'corporate sustainability', 'innovation', 'supply chain planning']","-0.016266443,0.068085805,0.023549007,0.022355722,0.010743286,-0.105757706,0.011141332,0.13054681,-0.03373215,-0.007927312,-0.029666202,-0.087037764,-0.0058507966,0.028471868,-0.0063069565,-0.06364374,0.04553574,-0.044152055,-0.009257473,-0.1211231,0.04524633,-0.0019503228,0.048228547,-0.05430502,-0.030789007,-0.014043591,-0.04015348,-0.047667168,-0.0752606,-0.012163332,0.048648212,0.00066461734,-0.011616337,-0.072724216,-0.017815132,0.029004622,0.020023491,-0.038771566,-0.024719052,-0.11229488,0.0008298476,-0.053018283,-0.00080452434,-0.027480071,0.047392808,-0.041923694,-0.06361086,-0.007901235,0.04126174,0.066921204,-0.010988086,-0.04622525,-0.030713983,0.0030634305,-0.010293175,0.031543422,0.035724044,0.010627137,-0.05506915,0.028617661,-0.003771305,0.046607587,-0.035133358,-0.012044063,-0.077535026,0.071055405,0.041410595,0.038337003,-0.08269131,0.060468134,-0.021717617,0.011290402,0.059430562,-0.047550127,0.0344272,0.033942338,0.002020691,0.0063166614,-0.026953096,0.030253507,-0.045178104,-0.02177356,-0.032103326,0.085132234,0.001892222,-0.00760497,0.007604821,0.077083595,0.0645844,0.024733014,0.04664291,0.005782075,0.0072700437,-0.0077474355,0.078833535,0.06761943,0.029801244,-0.0754746,0.035744067,0.033295408"
Developing Innovative Ideas for New Companies: The First Step in Entrepreneurship,"University of Maryland, College Park",Course,1 - 4 Weeks,4.7,"Strategic Decision-Making, Customer Insights, Innovation, Entrepreneurship, Competitive Analysis, Value Propositions, Market Opportunities, Business Modeling, Market Analysis, New Business Development, Business Strategies, Ideation",This course is part of Entrepreneurship: Launching an Innovative Business Specialization,https://www.coursera.org/learn/innovative-ideas,Business,Entrepreneurship,"['strategic decision-making', 'customer insights', 'innovation', 'entrepreneurship', 'competitive analysis', 'value propositions', 'market opportunities', 'business modeling', 'market analysis', 'new business development', 'business strategies', 'ideation']","-0.018631257,0.08036884,0.027701857,0.024668917,0.015514671,-0.12582095,0.016506778,0.15382545,-0.037452918,-0.0077195615,-0.033156324,-0.10048772,-0.008026152,0.03667312,-0.0071143047,-0.07536237,0.056779515,-0.05331005,-0.010118379,-0.1389106,0.053148646,0.00030010636,0.05201022,-0.06420159,-0.03696052,-0.017945882,-0.048263434,-0.05603078,-0.08799388,-0.015784794,0.054001253,-0.0005003942,-0.0114486115,-0.08940882,-0.02220959,0.032822497,0.024628753,-0.045150984,-0.028182974,-0.12949288,-0.002457076,-0.062414914,0.00023069086,-0.028513635,0.05338255,-0.045599673,-0.07334381,-0.008188306,0.047360178,0.07851183,-0.014683534,-0.05512019,-0.036645893,0.0047428766,-0.012511734,0.036865003,0.043143217,0.017862096,-0.066735804,0.034106184,-0.002398712,0.061128903,-0.03800751,-0.013142577,-0.090068646,0.08212729,0.04700959,0.044801217,-0.09584757,0.071011014,-0.02876565,0.011427049,0.07103541,-0.05765141,0.038130756,0.03893997,0.0007344534,0.0086400295,-0.032912116,0.04112481,-0.05521452,-0.021212457,-0.037015688,0.10179595,0.0007011972,-0.01262432,0.0045452765,0.08912635,0.0773795,0.03128369,0.05901651,0.0056257523,0.016040849,-0.00819285,0.09237186,0.07941176,0.036964707,-0.09128084,0.04001443,0.039803546"
Intelligent Machining,University at Buffalo,Course,1 - 4 Weeks,4.6,"Machine Learning, Real Time Data, Manufacturing Processes, Artificial Intelligence, Machine Controls, Automation, Open Source Technology, Software Systems, Control Systems",This course is part of Digital Manufacturing & Design Technology  Specialization,https://www.coursera.org/learn/intelligent-machining,Physical Science and Engineering,Mechanical Engineering,"['machine learning', 'real time data', 'manufacturing processes', 'artificial intelligence', 'machine controls', 'automation', 'open source technology', 'software systems', 'control systems']","-0.018027522,0.060457878,0.026707582,0.021127338,0.008547338,-0.09895858,0.010237212,0.11180581,-0.02998169,-0.01137,-0.02427574,-0.07320461,-0.0075290045,0.026114805,-0.002696245,-0.052315675,0.038473196,-0.043281928,-0.002785499,-0.1058093,0.040007424,0.0048419316,0.040266227,-0.049754668,-0.024285637,-0.012887322,-0.035163358,-0.040638216,-0.06407735,-0.007704749,0.037066363,0.0029012347,-0.004627547,-0.06303155,-0.01996246,0.029587248,0.016948523,-0.038026977,-0.019315504,-0.10065076,0.0025561994,-0.046037078,4.087699e-05,-0.026192613,0.04478944,-0.032864,-0.052495435,-0.007596612,0.03589234,0.05367038,-0.0071832635,-0.037170593,-0.033340286,0.0030251732,-0.008310186,0.023277486,0.025749825,0.011070813,-0.04682026,0.026493197,-0.0025859242,0.042758334,-0.028613852,-0.0043910816,-0.067862295,0.059699815,0.03373374,0.0332804,-0.07306799,0.059712514,-0.022641905,0.013932068,0.052263573,-0.04675253,0.028436443,0.02703889,0.0017009897,0.0016890313,-0.022857219,0.028697567,-0.030623509,-0.022044599,-0.025714537,0.07588688,0.002638249,-0.010860478,0.007432047,0.07164026,0.062350914,0.02080191,0.044553984,0.01251389,0.0093051195,-0.004292815,0.071995296,0.05708691,0.021706851,-0.062572606,0.031022115,0.025153631"
AI For Business,University of Pennsylvania,Specialization,3 - 6 Months,4.7,"Artificial Intelligence, AI Personalization, Machine Learning, Governance, Generative AI, Organizational Strategy, Customer Data Management, Data Governance, Data Security, Business Strategy, Human Resources, Big Data","Learn the Fundamentals of  AI and Machine Learning. Develop a deployment strategy for incorporating AI, ML, and Big Data into your organization that will take advantage of cutting-edge technologies",https://www.coursera.org/specializations/ai-for-business-wharton,Business,Leadership and Management,"['artificial intelligence', 'ai personalization', 'machine learning', 'governance', 'generative ai', 'organizational strategy', 'customer data management', 'data governance', 'data security', 'business strategy', 'human resources', 'big data']","-0.02374315,0.09645199,0.033915035,0.030675152,0.014925881,-0.15139787,0.016144253,0.17837316,-0.051075745,-0.014514842,-0.03981241,-0.11630741,-0.015070508,0.03967246,-0.008297392,-0.08532735,0.06239732,-0.06601674,-0.0089827925,-0.16344929,0.061765134,0.0049076756,0.06306598,-0.0816232,-0.03835414,-0.01732233,-0.056987513,-0.065665044,-0.09740884,-0.014873493,0.060854908,0.0015203102,-0.009926202,-0.096043415,-0.031713355,0.044105146,0.026418695,-0.053865775,-0.034686297,-0.15526484,0.0073393676,-0.06968207,-0.0014087274,-0.035732582,0.068170585,-0.051696192,-0.08462515,-0.015330854,0.055131216,0.08695775,-0.017927067,-0.059028473,-0.045514446,0.0057113054,-0.012498326,0.03890575,0.044953953,0.014547984,-0.07231433,0.045735415,-0.005527286,0.06599655,-0.048511837,-0.012436696,-0.10449097,0.09566191,0.052623317,0.053963434,-0.11972353,0.08818785,-0.034745637,0.017149057,0.0845749,-0.06947898,0.046755627,0.04150701,-0.00046376267,0.0026051241,-0.037535734,0.03992356,-0.057215046,-0.03006921,-0.042865913,0.116853826,0.005148434,-0.019137919,0.013603835,0.11328572,0.09304488,0.031236961,0.06991285,0.011976567,0.012085411,-0.0029034058,0.11178733,0.09043712,0.03745288,-0.10068881,0.04826823,0.043348026"
